customerID,companyName,contactName,contactTitle,city,country
ALFKI,Alfreds Futterkiste,Maria Anders,Sales Representative,Berlin,Germany
ANATR,Ana Trujillo Emparedados y helados,Ana Trujillo,Owner,Mexico City,Mexico
AROUT,Around the Horn,Thomas Hardy,Sales Representative,London,UK
BLAUS,Blauer See Delikatessen,Hanna Moos,Sales Representative,Mannheim,Germany
BONAP,Bon app',Laurence Lebihan,Owner,Marseille,France
BOTTM,Bottom-Dollar Markets,Elizabeth Lincoln,Accounting Manager,Tsawassen,Canada
BSBEV,B's Beverages,Victoria Ashworth,Sales Representative,London,UK
CACTU,Cactus Comidas para llevar,Patricio Simpson,Sales Agent,Buenos Aires,Argentina
CENTC,Centro comercial Moctezuma,Francisco Chang,Marketing Manager,Mexico City,Mexico
CHOPS,Chop-suey Chinese,Yang Wang,Owner,Bern,Switzerland
CONSH,Consolidated Holdings,Elizabeth Brown,Sales Representative,London,UK
DRACD,Drachenblut Delikatessen,Sven Ottlieb,Order Administrator,Aachen,Germany
DUMON,Du monde entier,Janine Labrune,Owner,Nantes,France
EASTC,Eastern Connection,Ann Devon,Sales Agent,London,UK
ERNSH,Ernst Handel,Roland Mendel,Sales Manager,Graz,Austria
FAMIA,Familia Arquibaldo,Aria Cruz,Marketing Assistant,Sao Paulo,Brazil
FISSA,FISSA Fabrica Inter. Salchichas S.A.,Diego Roel,Accounting Manager,Madrid,Spain
FOLIG,Folies gourmandes,Hailey,Assistant Sales Agent,Lille,France
FRANK,Frankenversand,Peter Franken,Marketing Manager,Aachen,Germany
FRANR,France restauration,Carine Schmitt,Marketing Manager,Nantes,France
FRANS,Franchi S.p.A.,Paolo Accorti,Sales Representative,Torino,Italy
FURIB,Furia Bacalhau e Frutos do Mar,Lino Rodriguez,Sales Manager,Lisboa,Portugal
GOURL,Gourmet Lanchonetes,Matt Gugg,Sales Associate,Campinas,Brazil
GREAL,Great Lakes Food Market,Howard Snyder,Marketing Manager,Eugene,USA
GROSR,GROSELLA-Restaurante,Manuel Pereira,Owner,Caracas,Venezuela
HANAR,Hanari Carnes,Mario Pontes,Accounting Manager,Rio de Janeiro,Brazil
HILAA,HILARION-Abastos,Tyler Perry,Sales Representative,Boise,Venezuela
HUNGC,Hungry Coyote Import Store,Yoshi Latimer,Sales Representative,Elgin,USA
HUNGO,Hungry Owl All-Night Grocers,Patricia McKenna,Sales Associate,Cork,Ireland
ISLAT,Island Trading,Helen Bennett,Marketing Manager,Cowes,UK
LACOR,La corne d'abondance,Daniel Tonini,Sales Representative,Versailles,France
LAMAI,La maison d'Asie,Annette Roulet,Sales Manager,Toulouse,France
LAUGB,Laughing Bacchus Wine Cellars,Yoshi Tannamuri,Marketing Assistant,Vancouver,Canada
LAZYK,Lazy K Kountry Store,John Steel,Marketing Manager,Walla Walla,USA
LEHMS,Lehmanns Marktstand,Renate Messner,Sales Representative,Frankfurt a.M.,Germany
LETSS,Let's Stop N Shop,Jaime Yorres,Owner,San Francisco,USA
LILAS,LILA-Supermercado,Andy Basy,Accounting Manager,Barquisimeto,Venezuela
LINOD,LINO-Delicateses,Felipe Izquierdo,Owner,I. de Margarita,Venezuela
LONEP,Lonesome Pine Restaurant,Fran Wilson,Sales Manager,Portland,USA
MAGAA,Magazzini Alimentari Riuniti,Giovanni Rovelli,Marketing Manager,Bergamo,Italy
MAISD,Maison Dewey,Catherine Dewey,Sales Agent,Bruxelles,Belgium
MORGK,Morgenstern Gesundkost,Alexander Feuer,Marketing Assistant,Leipzig,Germany
NORTS,North/South,Simon Crowther,Sales Associate,London,UK
OLDWO,Old World Delicatessen,Rene Phillips,Sales Representative,Anchorage,USA
PICCO,Piccolo und mehr,Georg Pipps,Sales Manager,Salzburg,Austria
PRINI,Princesa Isabel Vinhos,Isabel de Castro,Sales Representative,Lisboa,Portugal
QUEEN,Queen Cozinha,Blue Musk,Marketing Assistant,Sao Paulo,Brazil
QUICK,QUICK-Stop,Horst Kloss,Accounting Manager,Cunewalde,Germany
RANCH,Rancho grande,Bellamy ,Sales Representative,Buenos Aires,Argentina
RATTC,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,Albuquerque,USA
REGGC,Reggiani Caseifici,Maurizio Moroni,Sales Associate,Reggio Emilia,Italy
RICAR,Ricardo Adocicados,Janete Limeira,Assistant Sales Agent,Rio de Janeiro,Brazil
RICSU,Richter Supermarkt,Michael Holz,Sales Manager,Vend,Switzerland
ROMEY,Romero y tomillo,Alejandra Camino,Accounting Manager,Madrid,Spain
SAVEA,Save-a-lot Markets,Jose Pavarotti,Sales Representative,Boise,USA
SEVES,Seven Seas Imports,Hari Kumar,Sales Manager,London,UK
SIMOB,Simons bistro,Jytte Petersen,Owner,Kobenhavn,Denmark
SPLIR,Split Rail Beer & Ale,Art Braunschweiger,Sales Manager,Lander,USA
THEBI,The Big Cheese,Liz Nixon,Marketing Manager,Portland,USA
THECR,The Cracker Box,Liu Wong,Marketing Assistant,Butte,USA
TORTU,Tortuga Restaurante,Miguel Angel Paolino,Owner,Mexico City,Mexico
TRAIH,Trail's Head Gourmet Provisioners,Helvetius Nagy,Sales Associate,Kirkland,USA
VAFFE,Vaffeljernet,Palle Ibsen,Sales Manager,Newark,Denmark
VICTE,Victuailles en stock,Mary Saveley,Sales Agent,Lyon,France
VINET,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,Reims,France
WANDK,Die Wandernde Kuh,Cullivan,Sales Representative,Stuttgart,Germany
WARTH,Wartian Herkku,Pirkko Koskitalo,Accounting Manager,Oulu,Finland
WELLI,Wellington Importadora,Paula Parente,Sales Manager,Resende,Brazil
WHITC,White Clover Markets,Karl Jablonski,Owner,Seattle,USA
WILMK,Wilman Kala,Matti Karttunen,Owner/Marketing Assistant,Helsinki,Finland
WOLZA,Wolski  Zajazd,Zbyszek Piestrzeniewicz,Owner,Warszawa,Poland
